generation,member,lr,metric,metric_delta,metric_ema,metric_ema_delta,state,direction_streak,action,reason,action_ready,safety_check,proposed_lr,bounded_lr,applied
3,fixed_lr_3e-6,3e-06,0.4314977233701656,0.0026650779388625034,0.43394698091524,0.0024492575450743015,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
3,fixed_lr_4p5e-6,4.5e-06,0.42656363591416147,0.005070294025260713,0.4303419407559526,0.003778304841791147,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
3,fixed_lr_6e-6,6e-06,0.42317601785086706,0.004705760421857275,0.4271594248923803,0.003983407041513232,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
3,fixed_lr_7p5e-6,7.5e-06,0.42554509995308654,-0.0016835457615821392,0.42642112343440775,0.0008760234813212642,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
3,fixed_lr_9e-6,9e-06,0.4225593634718741,-0.0008380958459910381,0.4241513820650571,0.00159201859318292,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
3,fixed_lr_10p5e-6,1.05e-05,0.42034442528345156,0.0023971544553859636,0.4228717627707752,0.0025273374873235888,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
3,fixed_lr_12e-6,1.2e-05,0.4172074008737341,0.0031820933674140406,0.42072638195136725,0.0035189810776331543,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
3,fixed_lr_14e-6,1.4e-05,0.4100233705934836,0.009143923954677946,0.4162673564941822,0.006243985900698579,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.4e-05,1.4e-05,False
4,fixed_lr_3e-6,3e-06,0.4269863652285757,0.004511358141589927,0.43046667307190783,0.003480307843332142,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
4,fixed_lr_4p5e-6,4.5e-06,0.4245517561263733,0.0020118797877881622,0.427446848441163,0.002895092314789627,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
4,fixed_lr_6e-6,6e-06,0.42538095423563926,-0.0022049363847722048,0.42627018956400975,0.0008892353283705412,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
4,fixed_lr_7p5e-6,7.5e-06,0.4232145724600798,0.0023305274930067177,0.42481784794724375,0.001603275487163991,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
4,fixed_lr_9e-6,9e-06,0.4189792941155966,0.0035800693562775265,0.4215653380903268,0.002586043974730279,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
4,fixed_lr_10p5e-6,1.05e-05,0.41163419723731726,0.008710228046134305,0.4172529800040462,0.0056187827667290025,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.05e-05,1.05e-05,False
4,fixed_lr_12e-6,1.2e-05,0.410704769549336,0.0065026313243981,0.4157155757503516,0.005010806201015627,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.2e-05,1.2e-05,False
4,fixed_lr_14e-6,1.4e-05,0.402336599646289,0.00768677094719461,0.4093019780702356,0.006965378423946567,improving,2,lr_mul_1_05,EMA/trend improved; controller keeps LR stable,True,clamped,1.47e-05,1.4e-05,False
5,fixed_lr_3e-6,3e-06,0.4271864487504224,-0.00020008352184669453,0.4288265609111651,0.0016401121607427238,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
5,fixed_lr_4p5e-6,4.5e-06,0.42274037746145643,0.001811378664916874,0.4250936129513097,0.002353235489853278,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
5,fixed_lr_6e-6,6e-06,0.4220764677288705,0.003304486506768789,0.4241733286464401,0.002096860917569665,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
5,fixed_lr_7p5e-6,7.5e-06,0.4182725794845115,0.004941992975568299,0.4215452137158776,0.003272634231366145,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
5,fixed_lr_9e-6,9e-06,0.41103977909288597,0.00793951502271062,0.41630255859160636,0.005262779498720449,improving,1,keep,direction has not persisted for the configured patience window,True,passed,9e-06,9e-06,False
5,fixed_lr_10p5e-6,1.05e-05,0.41304591595006873,-0.0014117187127514752,0.41514944797705744,0.0021035320269887636,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
5,fixed_lr_12e-6,1.2e-05,0.4035111047645702,0.007193664784765796,0.4096133402574609,0.00610223549289074,improving,2,lr_mul_1_05,EMA/trend improved; controller keeps LR stable,True,clamped,1.2600000000000001e-05,1.2e-05,False
5,fixed_lr_14e-6,1.4e-05,0.3988177058889934,0.0035188937572955825,0.40405984197961453,0.0052421360906210746,improving,1,keep,action cooldown is active,False,cooldown,1.4e-05,1.4e-05,False
6,fixed_lr_3e-6,3e-06,0.4256638673044485,0.0015225814459738918,0.4272452141078068,0.0015813468033583078,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
6,fixed_lr_4p5e-6,4.5e-06,0.42273914387554884,1.233585907589596e-06,0.4239163784134293,0.0011772345378804339,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
6,fixed_lr_6e-6,6e-06,0.4220267233111402,4.9744417730257506e-05,0.42310002597879015,0.0010733026676499335,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
6,fixed_lr_7p5e-6,7.5e-06,0.41149053633585503,0.006782043148656491,0.41651787502586635,0.005027338690011263,improving,1,keep,direction has not persisted for the configured patience window,True,passed,7.5e-06,7.5e-06,False
6,fixed_lr_9e-6,9e-06,0.41305749550223136,-0.0020177164093453936,0.41468002704691886,0.0016225315446875,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
6,fixed_lr_10p5e-6,1.05e-05,0.4017925098049747,0.011253406145094014,0.4084709788910161,0.006678469086041361,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.05e-05,1.05e-05,False
6,fixed_lr_12e-6,1.2e-05,0.4010321070525351,0.0024789977120350803,0.405322723654998,0.004290616602462882,flat,0,keep,action cooldown is active,False,cooldown,1.2e-05,1.2e-05,False
6,fixed_lr_14e-6,1.4e-05,0.3970611369867536,0.0017565689022397968,0.40056048948318407,0.0034993524964304634,flat,0,keep,action cooldown is active,False,cooldown,1.4e-05,1.4e-05,False
7,fixed_lr_3e-6,3e-06,0.42184970456783477,0.0038141627366137243,0.4245474593378208,0.002697754769986016,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
7,fixed_lr_4p5e-6,4.5e-06,0.420681706563054,0.0020574373124948586,0.4222990424882416,0.0016173359251876462,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
7,fixed_lr_6e-6,6e-06,0.41189254437409195,0.010134178937048266,0.41749628517644105,0.0056037408023491,improving,1,keep,direction has not persisted for the configured patience window,True,passed,6e-06,6e-06,False
7,fixed_lr_7p5e-6,7.5e-06,0.4103721472833528,0.0011183890525022222,0.4134450111546096,0.00307286387125677,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
7,fixed_lr_9e-6,9e-06,0.4016876735566163,0.011369821945615088,0.40818385030176757,0.006496176745151294,improving,1,keep,direction has not persisted for the configured patience window,True,passed,9e-06,9e-06,False
7,fixed_lr_10p5e-6,1.05e-05,0.4012432363691401,0.0005492734358346074,0.4048571076300781,0.003613871260937984,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
7,fixed_lr_12e-6,1.2e-05,0.39796056405472585,0.0030715429978092623,0.4016416438548619,0.0036810798001361,flat,0,keep,action cooldown is active,False,cooldown,1.2e-05,1.2e-05,False
7,fixed_lr_14e-6,1.4e-05,0.39458454391179326,0.0024765930749603426,0.39757251669748866,0.002987972785695403,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
8,fixed_lr_3e-6,3e-06,0.42256886386754533,-0.0007191592997105589,0.42355816160268306,0.0009892977351377286,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
8,fixed_lr_4p5e-6,4.5e-06,0.42157608435471533,-0.0008943777916613493,0.4219375634214785,0.00036147906676314845,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
8,fixed_lr_6e-6,6e-06,0.4114700852565163,0.00042245911757565757,0.41448318521647864,0.0030130999599624064,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
8,fixed_lr_7p5e-6,7.5e-06,0.40199695173179634,0.008375195551556469,0.40772098144320296,0.00572402971140662,improving,1,keep,direction has not persisted for the configured patience window,True,passed,7.5e-06,7.5e-06,False
8,fixed_lr_9e-6,9e-06,0.40185857651844126,-0.00017090296182498133,0.40502121341010444,0.0031626368916631287,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
8,fixed_lr_10p5e-6,1.05e-05,0.3979153117902893,0.0033279245788507827,0.4013862097101837,0.003470897919894411,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
8,fixed_lr_12e-6,1.2e-05,0.39730820651065774,0.0006523575440681162,0.39947492518275984,0.0021667186721020526,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
8,fixed_lr_14e-6,1.4e-05,0.3905290393977093,0.004055504514083985,0.39405077804759897,0.003521738649889694,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
9,fixed_lr_3e-6,3e-06,0.42224245969057794,0.00032640417696738755,0.4229003106466305,0.0006578509560525858,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
9,fixed_lr_4p5e-6,4.5e-06,0.4203815510101343,0.001194533344581028,0.4211595572158064,0.0007780062056720882,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
9,fixed_lr_6e-6,6e-06,0.41011101948290996,0.0013590657736063383,0.4122971023496943,0.0021860828667843446,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
9,fixed_lr_7p5e-6,7.5e-06,0.401189951852818,0.0008069998789783095,0.40445546664801046,0.0032655147951924923,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
9,fixed_lr_9e-6,9e-06,0.39769273785298553,0.004165838665455723,0.401356975631545,0.0036642377785594538,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
9,fixed_lr_10p5e-6,1.05e-05,0.39888958552855547,-0.0009742737382661404,0.4001378976193696,0.0012483120908141077,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
9,fixed_lr_12e-6,1.2e-05,0.3915480879409158,0.005760118569741957,0.3955115065618378,0.003963418620922032,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
9,fixed_lr_14e-6,1.4e-05,0.39097499907477956,-0.0004459596770702845,0.39251288856118927,0.0015378894864097048,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
10,fixed_lr_3e-6,3e-06,0.42267123653932,-0.0004287768487420407,0.4227857735929752,0.00011453705365527256,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
10,fixed_lr_4p5e-6,4.5e-06,0.4125535811957384,0.00782796981439593,0.4168565692057724,0.004302988010033981,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
10,fixed_lr_6e-6,6e-06,0.40182213404519584,0.00828888543771411,0.40705961819744507,0.005237484152249228,improving,1,keep,direction has not persisted for the configured patience window,True,passed,6e-06,6e-06,False
10,fixed_lr_7p5e-6,7.5e-06,0.39945027533205496,0.0017396765207630671,0.40195287099003274,0.002502595657977724,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
10,fixed_lr_9e-6,9e-06,0.39747673781047405,0.0002160000425114883,0.3994168567210095,0.001940118910535471,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
10,fixed_lr_10p5e-6,1.05e-05,0.3979957314255432,0.0008938541030122926,0.3990668145224564,0.0010710830969131724,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
10,fixed_lr_12e-6,1.2e-05,0.39042620199842715,0.0011218859424886318,0.3929688542801325,0.0025426522817053043,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
10,fixed_lr_14e-6,1.4e-05,0.39008213033694505,0.0008928687378345068,0.39129750944906716,0.0012153791121221058,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
11,fixed_lr_3e-6,3e-06,0.4216455462359841,0.00102569030333588,0.4222156599144796,0.0005701136784955763,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
11,fixed_lr_4p5e-6,4.5e-06,0.4125847213780393,-3.114018230093718e-05,0.4147206452919059,0.002135923913866522,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
11,fixed_lr_6e-6,6e-06,0.4014693013838533,0.0003528326613425614,0.4042644597906492,0.0027951584067958946,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
11,fixed_lr_7p5e-6,7.5e-06,0.39877022686420704,0.0006800484678479157,0.4003615489271199,0.0015913220629128477,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
11,fixed_lr_9e-6,9e-06,0.39551181215429654,0.0019649256561775075,0.39746433443765306,0.0019525222833564615,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
11,fixed_lr_10p5e-6,1.05e-05,0.39232804997755666,0.005667681447986517,0.39569743225000653,0.0033693822724498723,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
11,fixed_lr_12e-6,1.2e-05,0.39101407075126693,-0.0005878687528397819,0.3919914625156997,0.000977391764432789,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
11,fixed_lr_14e-6,1.4e-05,0.3888643763750654,0.001217753961879675,0.3900809429120663,0.0012165665370008627,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
12,fixed_lr_3e-6,3e-06,0.4218100959083808,-0.0001645496723967077,0.4220128779114302,0.00020278200304940652,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
12,fixed_lr_4p5e-6,4.5e-06,0.407468047040945,0.005116674337094285,0.4110943461664255,0.0036262991254804033,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
12,fixed_lr_6e-6,6e-06,0.3994073516888188,0.0020619496950344818,0.401835905739734,0.002428554050915188,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
12,fixed_lr_7p5e-6,7.5e-06,0.39747513196887546,0.0012950948953315833,0.3989183404479977,0.0014432084791222155,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
12,fixed_lr_9e-6,9e-06,0.39142090559294973,0.004090906561346808,0.3944426200153014,0.0030217144223516623,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
12,fixed_lr_10p5e-6,1.05e-05,0.3909824796841811,0.0013455702933755642,0.3933399559670938,0.0023574762829127183,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
12,fixed_lr_12e-6,1.2e-05,0.3892792194425948,0.0017348513086721251,0.39063534097914726,0.001356121536552457,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
12,fixed_lr_14e-6,1.4e-05,0.3889829727840882,-0.00011859640902284196,0.38953195784807726,0.0005489850639890381,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
13,fixed_lr_3e-6,3e-06,0.41956424469190634,0.0022458512164744704,0.4207885613016683,0.0012243166097619107,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
13,fixed_lr_4p5e-6,4.5e-06,0.40163755645240945,0.005830490588535575,0.40636595130941744,0.004728394857008045,improving,1,keep,direction has not persisted for the configured patience window,True,passed,4.5e-06,4.5e-06,False
13,fixed_lr_6e-6,6e-06,0.3977827219302775,0.001624629758541274,0.39980931383500573,0.002026591904728259,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
13,fixed_lr_7p5e-6,7.5e-06,0.3971395863354189,0.00033554563345655763,0.3980289633917083,0.0008893770562893866,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
13,fixed_lr_9e-6,9e-06,0.39100537601418067,0.00041552957876905827,0.392723998014741,0.001718622000560388,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
13,fixed_lr_10p5e-6,1.05e-05,0.39080217670152395,0.0001803029826571434,0.3920710663343089,0.0012688896327849308,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
13,fixed_lr_12e-6,1.2e-05,0.388078110088236,0.001201109354358798,0.3893567255336916,0.0012786154454556553,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
13,fixed_lr_14e-6,1.4e-05,0.388404422535042,0.0005785502490462391,0.3889681901915596,0.0005637676565176664,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
14,fixed_lr_3e-6,3e-06,0.4121942736188207,0.007369971073085624,0.41649141746024454,0.004297143841423767,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
14,fixed_lr_4p5e-6,4.5e-06,0.40243135140455616,-0.0007937949521467091,0.4043986513569868,0.0019672999524306123,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
14,fixed_lr_6e-6,6e-06,0.39743719373730924,0.00034552819296829185,0.3986232537861575,0.0011860600488482476,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
14,fixed_lr_7p5e-6,7.5e-06,0.3943208222668793,0.002818764068539592,0.3961748928292938,0.0018540705624144893,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
14,fixed_lr_9e-6,9e-06,0.3909464979666846,5.887804749604708e-05,0.3918352479907128,0.0008887500240282176,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
14,fixed_lr_10p5e-6,1.05e-05,0.38954477555815714,0.0012574011433668097,0.390807920946233,0.0012631453880758703,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
14,fixed_lr_12e-6,1.2e-05,0.38903667380978396,-0.0009585637215479559,0.38919669967173776,0.0001600258619538497,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
14,fixed_lr_14e-6,1.4e-05,0.38653413821504806,0.00187028431999392,0.3877511642033038,0.0012170259882557932,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
15,fixed_lr_3e-6,3e-06,0.41218768167017344,6.591948647272083e-06,0.414339549565209,0.0021518678950355197,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
15,fixed_lr_4p5e-6,4.5e-06,0.39926238118663165,0.003168970217924505,0.4018305162718092,0.002568135085177614,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
15,fixed_lr_6e-6,6e-06,0.3966269933570439,0.0008102003802653579,0.3976251235716007,0.0009981302145568027,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
15,fixed_lr_7p5e-6,7.5e-06,0.3909564798079028,0.003364342458976488,0.39356568631859834,0.002609206510695461,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
15,fixed_lr_9e-6,9e-06,0.3901723517189031,0.0007741462477815486,0.39100379985480793,0.0008314481359048553,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
15,fixed_lr_10p5e-6,1.05e-05,0.38723275971056664,0.0023120158475904984,0.3890203403283998,0.0017875806178331843,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
15,fixed_lr_12e-6,1.2e-05,0.3868362392362189,0.0022004345735650577,0.38801646945397833,0.001180230217759426,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
15,fixed_lr_14e-6,1.4e-05,0.3852668474793423,0.0012672907357057506,0.3865090058413231,0.0012421583619807164,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
16,fixed_lr_3e-6,3e-06,0.40656102478544964,0.005626656884723802,0.41045028717532933,0.0038892623898796885,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
16,fixed_lr_4p5e-6,4.5e-06,0.39966507938762635,-0.0004026982009947,0.4007477978297178,0.0010827184420914016,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
16,fixed_lr_6e-6,6e-06,0.4001896922834157,-0.0035626989263718434,0.39890740792750823,-0.001282284355907548,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
16,fixed_lr_7p5e-6,7.5e-06,0.391161560104798,-0.00020508029689519924,0.39236362321169815,0.0012020631069001864,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
16,fixed_lr_9e-6,9e-06,0.39065717163952574,-0.0004848199206226589,0.39083048574716683,0.00017331410764109823,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
16,fixed_lr_10p5e-6,1.05e-05,0.38927774382492886,-0.002044984114362214,0.38914904207666434,-0.00012870174826451475,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
16,fixed_lr_12e-6,1.2e-05,0.386521176734724,0.00031506250149487824,0.3872688230943512,0.0007476463596271521,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
16,fixed_lr_14e-6,1.4e-05,0.38503819593377614,0.00022865154556617195,0.38577360088754964,0.0007354049537734442,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
17,fixed_lr_3e-6,3e-06,0.40766979839572093,-0.0011087736102712853,0.4090600427855251,0.0013902443898042294,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
17,fixed_lr_4p5e-6,4.5e-06,0.39888849445822583,0.0007765849294005256,0.3998181461439718,0.0009296516857459913,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
17,fixed_lr_6e-6,6e-06,0.3958574296297875,0.004332262653628238,0.3973824187786479,0.001524989148860345,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
17,fixed_lr_7p5e-6,7.5e-06,0.3897169866111594,0.0014445734936386345,0.39104030491142877,0.0013233183002693827,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
17,fixed_lr_9e-6,9e-06,0.38547286823110316,0.005184303408422575,0.388151676989135,0.0026788087580318365,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
